location,timestamp,traffic_volume
Location_1,2023-01-01 00:00:00,291.88526331888824
Location_1,2023-01-01 01:00:00,339.51715721066694
Location_1,2023-01-01 02:00:00,362.930780599295
Location_1,2023-01-01 03:00:00,401.7429439894183
Location_1,2023-01-01 04:00:00,371.3846202614662
Location_1,2023-01-01 05:00:00,397.170342311967
Location_1,2023-01-01 06:00:00,362.11240919234064
Location_1,2023-01-01 07:00:00,388.88313349853263
Location_1,2023-01-01 08:00:00,396.1551034325581
Location_1,2023-01-01 09:00:00,352.8143628084166
Location_1,2023-01-01 10:00:00,351.6217269132896
Location_1,2023-01-01 11:00:00,321.7048841433155
Location_1,2023-01-01 12:00:00,298.4478087266342
Location_1,2023-01-01 13:00:00,262.36568696184065
Location_1,2023-01-01 14:00:00,234.991571204706
Location_1,2023-01-01 15:00:00,221.46878202540583
Location_1,2023-01-01 16:00:00,211.24248613233726
Location_1,2023-01-01 17:00:00,180.0605540837707
Location_1,2023-01-01 18:00:00,193.86027483284593
Location_1,2023-01-01 19:00:00,192.51908944225195
Location_1,2023-01-01 20:00:00,224.9642069083293
Location_1,2023-01-01 21:00:00,214.6752474743298
Location_1,2023-01-01 22:00:00,225.7412416646052
Location_1,2023-01-01 23:00:00,297.9377703956464
Location_1,2023-01-02 00:00:00,243.04649875611818
Location_1,2023-01-02 01:00:00,331.2409998803655
Location_1,2023-01-02 02:00:00,347.1873541494159
Location_1,2023-01-02 03:00:00,328.5432300855991
Location_1,2023-01-02 04:00:00,388.0491752989484
Location_1,2023-01-02 05:00:00,381.1925762605198
Location_1,2023-01-02 06:00:00,367.60437522403265
Location_1,2023-01-02 07:00:00,346.84589679645615
Location_1,2023-01-02 08:00:00,369.85376661370833
Location_1,2023-01-02 09:00:00,326.36691783097024
Location_1,2023-01-02 10:00:00,290.05076237053663
Location_1,2023-01-02 11:00:00,284.5781289624893
Location_1,2023-01-02 12:00:00,254.41569965767545
Location_1,2023-01-02 13:00:00,237.0942896322469
Location_1,2023-01-02 14:00:00,205.96566407099655
Location_1,2023-01-02 15:00:00,210.99445513675633
Location_1,2023-01-02 16:00:00,182.912962558787
Location_1,2023-01-02 17:00:00,153.36284438418494
Location_1,2023-01-02 18:00:00,133.17483108102263
Location_1,2023-01-02 19:00:00,177.063475907748
Location_1,2023-01-02 20:00:00,177.12531340652177
Location_1,2023-01-02 21:00:00,229.0794129006368
Location_1,2023-01-02 22:00:00,199.7957835707533
Location_1,2023-01-02 23:00:00,250.13451682640238
Location_1,2023-01-03 00:00:00,250.57118209820857
Location_1,2023-01-03 01:00:00,267.30601590461964
