location,timestamp,traffic_volume,hour,dayofweek,day,month,lag_1,lag_2,lag_3
Location_1,2023-01-01 03:00:00,401.7429439894183,3,6,1,1,362.930780599295,339.51715721066694,291.88526331888824
Location_1,2023-01-01 04:00:00,371.3846202614662,4,6,1,1,401.7429439894183,362.930780599295,339.51715721066694
Location_1,2023-01-01 05:00:00,397.170342311967,5,6,1,1,371.3846202614662,401.7429439894183,362.930780599295
Location_1,2023-01-01 06:00:00,362.11240919234064,6,6,1,1,397.170342311967,371.3846202614662,401.7429439894183
Location_1,2023-01-01 07:00:00,388.88313349853263,7,6,1,1,362.11240919234064,397.170342311967,371.3846202614662
Location_1,2023-01-01 08:00:00,396.1551034325581,8,6,1,1,388.88313349853263,362.11240919234064,397.170342311967
Location_1,2023-01-01 09:00:00,352.8143628084166,9,6,1,1,396.1551034325581,388.88313349853263,362.11240919234064
Location_1,2023-01-01 10:00:00,351.6217269132896,10,6,1,1,352.8143628084166,396.1551034325581,388.88313349853263
Location_1,2023-01-01 11:00:00,321.7048841433155,11,6,1,1,351.6217269132896,352.8143628084166,396.1551034325581
Location_1,2023-01-01 12:00:00,298.4478087266342,12,6,1,1,321.7048841433155,351.6217269132896,352.8143628084166
Location_1,2023-01-01 13:00:00,262.36568696184065,13,6,1,1,298.4478087266342,321.7048841433155,351.6217269132896
Location_1,2023-01-01 14:00:00,234.991571204706,14,6,1,1,262.36568696184065,298.4478087266342,321.7048841433155
Location_1,2023-01-01 15:00:00,221.46878202540583,15,6,1,1,234.991571204706,262.36568696184065,298.4478087266342
Location_1,2023-01-01 16:00:00,211.24248613233726,16,6,1,1,221.46878202540583,234.991571204706,262.36568696184065
Location_1,2023-01-01 17:00:00,180.0605540837707,17,6,1,1,211.24248613233726,221.46878202540583,234.991571204706
Location_1,2023-01-01 18:00:00,193.86027483284593,18,6,1,1,180.0605540837707,211.24248613233726,221.46878202540583
Location_1,2023-01-01 19:00:00,192.51908944225195,19,6,1,1,193.86027483284593,180.0605540837707,211.24248613233726
Location_1,2023-01-01 20:00:00,224.9642069083293,20,6,1,1,192.51908944225195,193.86027483284593,180.0605540837707
Location_1,2023-01-01 21:00:00,214.6752474743298,21,6,1,1,224.9642069083293,192.51908944225195,193.86027483284593
Location_1,2023-01-01 22:00:00,225.7412416646052,22,6,1,1,214.6752474743298,224.9642069083293,192.51908944225195
Location_1,2023-01-01 23:00:00,297.9377703956464,23,6,1,1,225.7412416646052,214.6752474743298,224.9642069083293
Location_1,2023-01-02 00:00:00,243.04649875611818,0,0,2,1,297.9377703956464,225.7412416646052,214.6752474743298
Location_1,2023-01-02 01:00:00,331.2409998803655,1,0,2,1,243.04649875611818,297.9377703956464,225.7412416646052
Location_1,2023-01-02 02:00:00,347.1873541494159,2,0,2,1,331.2409998803655,243.04649875611818,297.9377703956464
Location_1,2023-01-02 03:00:00,328.5432300855991,3,0,2,1,347.1873541494159,331.2409998803655,243.04649875611818
Location_1,2023-01-02 04:00:00,388.0491752989484,4,0,2,1,328.5432300855991,347.1873541494159,331.2409998803655
Location_1,2023-01-02 05:00:00,381.1925762605198,5,0,2,1,388.0491752989484,328.5432300855991,347.1873541494159
Location_1,2023-01-02 06:00:00,367.60437522403265,6,0,2,1,381.1925762605198,388.0491752989484,328.5432300855991
Location_1,2023-01-02 07:00:00,346.84589679645615,7,0,2,1,367.60437522403265,381.1925762605198,388.0491752989484
Location_1,2023-01-02 08:00:00,369.85376661370833,8,0,2,1,346.84589679645615,367.60437522403265,381.1925762605198
